,Hispania citerior,Roma,Venetia et Histria / Regio X,Apulia et Calabria / Regio II,Transpadana / Regio XI,Lusitania,Latium et Campania / Regio I,Umbria / Regio VI,Samnium / Regio IV,Gallia Narbonensis,Dalmatia,Aquitani(c)a,Lugudunensis,Germania superior,Moesia superior,Dacia,Bruttium et Lucania / Regio III,Noricum,Picenum / Regio V,Aemilia / Regio VIII,Numidia,Mauretania Caesariensis,Raetia,Moesia inferior,Pannonia inferior,Baetica,Sicilia,Sardinia,Liguria / Regio IX,Pannonia superior,Germania inferior,Alpes Maritimae,Britannia,Mauretania Tingitana,Etruria / Regio VII,Africa proconsularis,Macedonia,Alpes Cottiae,Cappadocia,Provincia incerta,Corsica,Asia,Arabia,Thracia,Italia,Belgica | Germania superior,Palaestina,Galatia,Barbaricum,Alpes Poeninae,Belgica,Achaia,Pontus et Bithynia,Aegyptus,Syria,Alpes Graiae,Lycia et Pamphylia,Regnum Bospori,Cyprus,Cilicia,Italien
0-1,1,178,6,6,1,1,39,1,7,1,2,0,2,1,0,0,1,0,1,1,11,10,1,1,1,1,1,3,0,2,0,0,2,1,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65
2-4,1,562,13,31,3,2,133,4,14,4,17,1,4,0,7,13,13,0,0,6,34,26,1,4,6,4,5,4,2,3,0,0,4,0,12,99,1,0,1,4,0,1,2,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,232
5-9,7,1038,22,66,13,3,264,13,35,14,22,0,16,2,11,10,18,0,11,12,136,55,3,7,20,6,11,8,2,3,4,1,5,13,25,226,3,1,0,4,0,0,0,0,2,0,0,0,1,0,2,0,0,2,2,0,0,0,0,1,483
10-14,10,542,24,48,7,1,135,22,23,10,13,0,10,3,4,15,6,0,6,13,120,28,3,10,8,8,9,16,3,3,0,4,5,2,20,167,2,0,0,4,1,0,1,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,307
14-19,5,386,10,28,2,1,137,15,25,5,9,0,8,0,7,5,9,0,4,8,174,25,1,3,2,3,3,8,4,1,2,2,3,5,21,133,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,264
20-29,12,576,25,63,17,6,218,32,40,19,26,1,16,4,14,18,17,3,5,14,252,59,3,13,11,8,13,13,8,7,1,1,10,8,27,321,2,0,0,7,1,3,1,1,0,0,1,1,0,0,2,1,1,0,7,0,0,3,1,0,466
30-39,18,924,27,92,9,9,246,15,27,15,43,0,15,12,36,34,25,4,11,23,584,98,4,26,18,14,15,29,2,19,0,4,14,16,44,618,12,0,1,5,0,3,6,5,1,1,4,3,1,0,1,11,2,2,21,1,0,3,0,1,522
40-49,13,541,13,70,7,6,169,12,13,12,22,1,11,6,39,45,28,0,3,24,692,126,11,27,19,17,15,28,2,10,1,1,20,15,27,611,8,0,2,1,4,3,5,4,0,0,2,3,1,0,2,3,4,2,20,0,0,3,0,0,368
50-59,3,129,3,36,8,5,54,3,2,1,18,1,1,2,11,19,9,0,2,3,522,69,1,9,9,3,3,14,1,2,1,0,4,7,16,419,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,137
60-69,5,219,5,80,10,6,73,7,5,3,16,0,6,3,60,47,18,1,0,8,1049,138,5,39,12,11,9,25,1,5,0,0,7,14,49,798,3,0,1,2,0,0,1,3,0,0,1,1,0,0,2,3,1,1,1,0,0,0,0,0,256
70-79,2,62,3,16,3,3,22,3,4,0,8,0,2,1,22,12,8,1,0,1,478,80,6,12,11,2,5,8,0,4,0,0,7,4,22,489,3,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,82
80-89,2,47,1,7,0,0,12,0,2,1,3,0,0,0,6,5,2,0,0,3,323,43,1,2,1,1,0,2,0,1,0,0,5,0,2,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29
90-99,0,10,0,4,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,97,10,2,1,1,1,0,1,0,0,0,0,1,0,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
100-120,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
