,Roma,Venetia et Histria / Regio X,Apulia et Calabria / Regio II,Transpadana / Regio XI,Latium et Campania / Regio I,Umbria / Regio VI,Samnium / Regio IV,Bruttium et Lucania / Regio III,Picenum / Regio V,Aemilia / Regio VIII,Liguria / Regio IX,Etruria / Regio VII,Gesamt,
pius,948,79,49,33,229,44,75,21,23,29,9,39,1578,630
bonus,544,62,34,38,191,31,48,9,4,24,8,34,1027,483
sanctus,291,13,11,6,66,18,12,2,8,9,2,13,451,160
dulcis,592,22,29,5,165,13,21,12,8,15,1,24,907,315
incomparabilis,84,18,6,5,57,7,8,1,4,9,1,4,204,120
castus,13,1,1,0,4,2,0,0,2,1,0,1,25,12
prudens,1,0,0,0,0,0,0,0,0,0,0,0,1,0
carus,1299,83,39,55,213,43,45,27,12,23,13,60,1912,613
miser,10,1,3,0,4,1,2,1,1,1,0,0,24,14
rarus,61,10,6,2,28,4,6,2,3,9,1,4,136,75
clarus,26,5,0,1,4,2,2,0,0,1,0,4,45,19
felix,6,0,2,0,2,0,0,0,0,0,0,0,10,4
dignus,20,1,0,0,9,2,1,0,1,0,0,0,34,14
tristis,1,0,0,0,0,0,0,0,0,0,0,0,1,0
amans,30,2,1,4,8,1,0,1,1,1,1,1,51,21
innocens,9,10,2,2,4,0,0,0,0,2,0,0,29,20
iucundus,6,0,0,0,2,0,0,0,0,0,0,0,8,2
mereo,471,19,77,4,125,29,60,19,10,33,7,23,877,406
probo,0,0,1,0,1,0,0,0,1,0,0,0,3,3
mero,2643,39,202,16,575,49,100,76,16,31,7,91,3845,1202
amo,3,0,0,0,0,0,1,0,0,0,0,0,4,1
nascor,12,3,0,1,6,3,0,0,0,0,0,37,62,50
afficio,2,0,0,0,1,1,0,0,0,0,0,0,4,2
pudens,0,0,0,0,1,0,3,0,0,0,0,0,4,4
doleo,5,1,2,0,0,1,0,0,1,0,0,2,12,7
probus,3,0,1,1,1,2,2,0,0,0,0,0,10,7
indulgentus,7,0,0,1,4,0,0,0,0,0,0,1,13,6
fortis,13,1,1,0,2,0,0,0,0,0,0,2,19,6
simplex,16,0,0,2,2,2,0,0,0,0,0,2,24,8
mellitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fidelis,32,5,1,0,2,4,0,0,0,1,1,0,46,14
clemens,0,1,0,0,1,1,0,0,0,0,1,0,4,4
fidus,6,1,0,0,0,1,0,0,1,0,0,0,9,3
amabilis,2,0,0,0,1,0,0,0,0,0,0,0,3,1
integer,2,1,0,0,0,0,1,0,0,0,0,0,4,2
honestus,6,0,0,0,1,0,1,0,0,0,0,0,8,2
placidus,0,1,0,0,0,0,0,0,0,0,0,0,1,1
sollicitus,1,0,0,0,0,0,0,0,0,0,0,0,1,0
suavis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
securus,1,1,0,0,1,0,0,0,0,0,0,0,3,2
lepidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapiens,1,0,0,0,2,0,0,0,0,0,0,0,3,2
modestus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frugi,1,0,0,0,0,0,0,0,0,0,0,1,2,1
studiosus,2,0,1,0,0,0,1,0,0,0,0,0,4,2
laetus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
praesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesamt,7170,380,469,176,1712,261,389,171,96,189,52,343,11408,4238
