,Venetia et Histria / Regio X,Apulia et Calabria / Regio II,Transpadana / Regio XI,Latium et Campania / Regio I,Umbria / Regio VI,Samnium / Regio IV,Bruttium et Lucania / Regio III,Picenum / Regio V,Aemilia / Regio VIII,Liguria / Regio IX,Etruria / Regio VII,Italien (ohne Rom)
pius,"1,57","0,79","1,42","1,01","1,28","1,46","0,93","1,81","1,16","1,31","0,86","1,12"
bonus,"2,15","0,96","2,85","1,47","1,57","1,63","0,69","0,55","1,67","2,03","1,31","1,50"
sanctus,"0,84","0,58","0,84","0,95","1,70","0,76","0,29","2,05","1,17","0,95","0,93","0,93"
dulcis,"0,70","0,75","0,34","1,17","0,60","0,65","0,85","1,01","0,96","0,23","0,85","0,90"
incomparabilis,"4,04","1,09","2,42","2,84","2,29","1,76","0,50","3,56","4,06","1,64","1,00","2,42"
castus,"1,45","1,18","0,00","1,29","4,23","0,00","0,00","11,49","2,92","0,00","1,61","1,56"
prudens,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
carus,"1,21","0,46","1,72","0,69","0,91","0,64","0,87","0,69","0,67","1,38","0,97","0,80"
miser,"1,89","4,59","0,00","1,68","2,75","3,69","4,19","7,47","3,79","0,00","0,00","2,37"
rarus,"3,09","1,50","1,34","1,92","1,80","1,81","1,37","3,67","5,60","2,26","1,37","2,08"
clarus,"3,63","0,00","1,57","0,64","2,11","1,42","0,00","0,00","1,46","0,00","3,22","1,24"
felix,"0,00","5,10","0,00","1,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,13"
dignus,"0,94","0,00","0,00","1,88","2,75","0,92","0,00","3,73","0,00","0,00","0,00","1,18"
tristis,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
amans,"1,26","0,51","5,43","1,12","0,92","0,00","1,40","2,49","1,26","4,60","0,70","1,18"
innocens,"20,96","3,40","9,05","1,86","0,00","0,00","0,00","0,00","8,43","0,00","0,00","3,76"
iucundus,"0,00","0,00","0,00","1,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,56"
mereo,"0,76","2,50","0,35","1,11","1,69","2,35","1,69","1,59","2,66","2,05","1,02","1,46"
probo,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
mero,"0,28","1,17","0,25","0,91","0,51","0,70","1,21","0,45","0,44","0,37","0,72","0,77"
amo,"0,00","0,00","0,00","0,00","0,00","6,14","0,00","0,00","0,00","0,00","0,00","0,56"
nascor,"4,72","0,00","3,39","2,09","6,87","0,00","0,00","0,00","0,00","0,00","64,45","7,05"
afficio,"0,00","0,00","0,00","2,09","13,74","0,00","0,00","0,00","0,00","0,00","0,00","1,69"
pudens,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
doleo,"3,77","6,12","0,00","0,00","5,49","0,00","0,00","14,94","0,00","0,00","8,36","2,37"
probus,"0,00","5,10","13,58","1,40","18,31","12,29","0,00","0,00","0,00","0,00","0,00","3,95"
indulgentus,"0,00","0,00","5,82","2,39","0,00","0,00","0,00","0,00","0,00","0,00","2,99","1,45"
fortis,"1,45","1,18","0,00","0,64","0,00","0,00","0,00","0,00","0,00","0,00","3,22","0,78"
simplex,"0,00","0,00","5,09","0,52","3,43","0,00","0,00","0,00","0,00","0,00","2,61","0,85"
mellitus,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
fidelis,"2,95","0,48","0,00","0,26","3,43","0,00","0,00","0,00","1,19","4,31","0,00","0,74"
clemens,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
fidus,"3,14","0,00","0,00","0,00","4,58","0,00","0,00","12,45","0,00","0,00","0,00","0,85"
amabilis,"0,00","0,00","0,00","2,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,85"
integer,"9,43","0,00","0,00","0,00","0,00","9,22","0,00","0,00","0,00","0,00","0,00","1,69"
honestus,"0,00","0,00","0,00","0,70","0,00","3,07","0,00","0,00","0,00","0,00","0,00","0,56"
placidus,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
sollicitus,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
suavis,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
securus,"18,87","0,00","0,00","4,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,38"
lepidus,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
sapiens,"0,00","0,00","0,00","8,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,38"
modestus,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
frugi,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","20,90","1,69"
studiosus,"0,00","7,64","0,00","0,00","0,00","9,22","0,00","0,00","0,00","0,00","0,00","1,69"
laetus,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
praesto,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Gesamt,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
