"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius","tituli sepulcrales"
"carus","2","29","3","3","3","5","1","0"
"sanctus","51","27","13","15","4","16","17","0"
"pius","18","24","1","14","14","12","5","0"
"indulgentus","3","6","1","2","3","1","1","0"
"incomparabilis","2","4","1","4","4","6","2","0"
"rarus","4","2","0","5","4","6","6","0"
"dulcis","2","2","0","0","0","1","0","0"
"bonus","32","37","4","27","47","24","26","0"
"castus","0","0","0","0","0","0","0","0"
"placidus","0","0","0","0","0","0","0","0"
"dignus","5","1","0","4","44","6","0","0"
"fortis","25","1","0","5","9","5","12","0"
"miser","0","1","0","0","0","0","0","0"
"nascor","2","4","1","5","2","8","2","0"
"mero","6","29","6","5","1","3","2","0"
"clarus","67","16","6","50","26","33","309","0"
"probus","0","1","0","0","5","0","0","0"
"felix","3","1","0","4","3","1","5","0"
"honestus","30","0","0","2","1","13","5","0"
"fidelis","13","2","0","1","0","3","2","0"
"mereo","3","17","3","1","3","1","3","0"
"clemens","2","0","0","0","2","2","2","0"
"lepidus","0","2","0","0","0","0","1","0"
"innocens","1","0","0","1","1","1","1","0"
"amans","0","2","0","0","1","2","0","0"
"tristis","0","0","0","0","0","0","0","0"
"simplex","6","0","0","38","0","4","40","0"
"laetus","18","2","0","1","4","1","0","0"
"studiosus","0","0","0","0","0","0","0","0"
"fidus","2","0","0","1","1","1","2","0"
"securus","0","0","0","0","0","0","0","0"
"integer","0","0","0","1","0","1","0","0"
"probatus","0","0","0","0","0","0","0","0"
"prudens","0","0","0","0","0","0","0","0"
"iucundus","0","0","0","0","0","0","0","0"
"probo","2","0","0","0","0","0","0","0"
"sapiens","0","0","0","0","0","0","0","0"
"amo","0","0","0","0","0","0","0","0"
"amabilis","0","0","0","0","0","0","0","0"
"afficio","0","0","0","0","0","0","0","0"
