"","0","50","100","150","200","250","undatiert"
"pientissimus","1","6","13","9","25","17","36"
"optimus","2","6","12","7","19","10","19"
"pius","22","77","189","162","325","255","2135"
"clarus","1","1","0","2","21","56","10"
"incomparabilis","1","1","2","3","23","17","18"
"bonus","11","66","129","87","182","81","244"
"castus","1","1","0","0","3","1","2"
"carissimus","3","7","9","4","9","8","22"
"carus","9","36","40","25","38","23","104"
"sanctus","9","11","15","10","28","26","14"
"miser","1","3","5","1","4","0","3"
"felix","0","1","2","1","1","4","7"
"dulcis","0","1","5","7","24","18","33"
"pulcher","0","0","0","0","0","0","0"
"tristis","0","0","0","0","0","0","0"
"rarus","1","2","3","6","7","6","17"
"placidus","0","0","0","0","0","0","0"
"mereo","15","41","62","65","137","84","154"
"amo","0","0","1","0","0","0","2"
"nascor","5","7","5","2","12","12","22"
"pudens","0","1","1","0","0","0","0"
"fortis","0","1","4","2","7","8","8"
"simplex","0","2","1","1","0","2","6"
"mellitus","0","0","0","0","0","0","1"
"fidus","1","1","0","1","3","0","2"
"doleo","0","0","0","0","2","1","0"
"amans","0","0","2","0","2","0","1"
"amabilis","0","0","0","0","1","0","0"
"dignus","1","8","29","1","2","4","3"
"clemens","0","2","1","1","1","1","0"
"obsequentissimus","0","0","0","0","0","1","2"
"sollicitus","0","0","0","0","0","0","0"
"lepidus","0","1","1","0","0","0","0"
"afficio","0","0","0","0","1","0","0"
"honestus","1","0","1","3","4","7","2"
"suauis","1","2","0","0","0","1","1"
"integer","0","0","0","0","0","0","0"
"probus","1","5","4","0","3","0","4"
"iucundus","0","0","0","0","0","0","0"
"securus","0","0","1","0","1","1","2"
"laetus","0","1","3","2","18","12","1"
"sapiens","0","0","0","0","0","0","0"
"studiosus","0","1","0","0","0","0","1"
"prudens","0","0","0","0","0","0","1"
"frugi","1","0","0","1","0","0","0"
"probo","1","0","0","0","0","1","1"
