,"milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius","tituli sepulcrales"
"pientissimus","45","77","18","5","8","6","0",722
"optimus","18","107","25","7","14","6","2",439
"pius","154","190","156","79","84","31","10",3893
"clarus","49","16","3","41","16","19","230",48
"incomparabilis","23","22","2","6","8","7","3",163
"bonus","80","183","21","39","79","41","27",728
"castus","0","5","0","1","1","0","0",27
"carissimus","32","128","29","7","11","4","3",685
"carus","27","51","15","4","5","7","1",343
"sanctus","20","23","11","5","4","5","6",70
"miser","1","9","2","0","2","0","0",32
"felix","2","3","0","0","2","0","1",16
"dulcis","6","12","1","0","1","2","1",160
"pulcher","0","0","0","0","0","0","0",1
"tristis","0","0","0","0","0","0","0",1
"rarus","14","4","1","2","2","6","6",55
"placidus","0","0","0","0","0","0","0",1
"mereo","109","151","51","7","16","11","7",957
"amo","2","0","1","0","0","0","0",13
"nascor","20","16","5","3","8","4","3",82
"pudens","0","0","0","0","0","0","0",4
"fortis","11","4","0","2","1","3","2",22
"simplex","1","2","0","0","0","0","0",12
"mellitus","0","0","0","0","0","0","0",1
"fidus","1","1","0","1","0","1","0",7
"doleo","0","0","0","0","0","0","0",5
"amans","0","2","1","0","1","2","0",3
"amabilis","0","0","0","0","0","0","0",1
"dignus","3","3","2","3","41","3","0",14
"clemens","0","1","0","0","0","1","1",4
"obsequentissimus","3","3","0","0","1","2","0",15
"sollicitus","0","0","0","0","0","0","0",1
"lepidus","0","2","1","0","0","0","0",1
"afficio","0","0","0","0","0","0","0",2
"honestus","22","2","0","2","2","6","3",22
"suauis","0","2","0","0","0","0","0",3
"integer","0","1","0","1","0","1","0",1
"probus","2","6","2","0","5","1","0",11
"iucundus","0","0","1","0","0","0","0",2
"securus","0","1","0","2","0","0","0",5
"laetus","15","2","1","0","2","1","0",1
"sapiens","0","0","0","0","0","0","0",2
"studiosus","0","0","0","0","0","0","0",3
"prudens","0","0","0","0","0","0","0",1
"frugi","0","0","0","0","0","0","0",2
"probo","3","1","0","0","0","1","0",2
,,,,,,,,8583
