"","milites","liberti/libertae","servi/servae","sacerdotes pagani","ordo decurionum","ordo equester","ordo senatorius"
"mater","2","4","6","4","0","0","0"
"pater","34","27","8","10","17","7","1"
"frater","22","6","9","2","1","6","0"
"soror","0","1","1","1","0","0","0"
"nouerca","0","0","0","0","0","0","0"
"priuignus","0","0","0","0","0","0","0"
"amita","0","0","0","0","0","0","0"
"matertera","0","0","0","0","0","0","0"
"nurrus","0","0","0","0","0","0","0"
"filius","25","45","32","17","30","10","4"
"filia","2","8","3","6","1","1","0"
"auia","0","0","0","0","0","0","0"
"auus","1","0","0","0","0","0","0"
"auunculus","2","0","0","0","0","0","0"
"patruus","1","0","0","0","0","0","0"
"gener","0","0","0","0","0","0","0"
"nurus","0","0","0","0","0","0","0"
"uxor","2","4","6","3","1","0","0"
"maritus","3","4","4","2","0","1","1"
"coniux","0","0","0","0","0","0","0"
"coniunx","11","9","6","4","5","0","0"
"concubinus","0","0","0","0","0","0","0"
"contubernalis","0","0","0","0","0","0","0"
"parens","3","5","1","0","1","0","0"
"socer","0","0","0","0","0","0","0"
"conubium","0","0","0","0","0","0","0"
"matrimonium","0","0","0","0","0","0","0"
"Person M","42","75","74","30","28","5","4"
"Person W","3","2","5","0","0","0","0"
"Person N","1","0","1","0","0","1","0"
